Unnamed: 0,datetime,title,source,link
0.0,2/9/2017 3:10:43 PM,The safest way to walk on ice is to impersonate a penguin — here's why,Business Insider,http://www.businessinsider.com/safest-walk-ice-penguin-2017-2
1.0,2/15/2017 12:17:10 AM,Immigration agents arrested a Mexican immigrant covered by Obama administration program,Reuters,http://www.businessinsider.com/ice-arrests-mexican-immigrant-obama-daca-2017-2
2.0,2/15/2017 11:54:10 AM,"UPDATE 2-Euronext to pursue alternatives if LCH deal falls through (DB1, LSE, CME, ICE)",Reuters,http://www.businessinsider.com/r-update-2-euronext-to-pursue-alternatives-if-lch-deal-falls-through-2017-2
3.0,2/15/2017 3:20:11 PM,"BRIEF-Intercontinental exchange to buy TMX Atrium from TMX Group (ICE, X)",Reuters,http://www.businessinsider.com/r-brief-intercontinental-exchange-to-buy-tmx-atrium-from-tmx-group-2017-2
4.0,2/15/2017 5:32:11 PM,"BRIEF-TMX Group announces sale of Atrium (X, ICE)",Reuters,http://www.businessinsider.com/r-brief-tmx-group-announces-sale-of-atrium-2017-2
5.0,2/22/2017 12:36:14 PM,"BoE's Cunliffe says euro-denominated clearing should not be forced into euro zone (LSE, DB1, ICE, CME)",Reuters,http://www.businessinsider.com/r-boes-cunliffe-says-euro-denominated-clearing-should-not-be-forced-into-euro-zone-2017-2
6.0,2/22/2017 1:30:12 PM,"UPDATE 1-BoE's Cunliffe says euro-denominated clearing should not be forced into euro zone (LSE, ICE, CME, DB1)",Reuters,http://www.businessinsider.com/r-update-1-boes-cunliffe-says-euro-denominated-clearing-should-not-be-forced-into-euro-zone-2017-2
7.0,2/23/2017 8:22:14 AM,"London Metal Exchange cuts deal with banks to propel gold futures (388, CME, ICE, GS, 601398, MS, KN, GLE, HSBA, JPM, BNS)",Reuters,http://www.businessinsider.com/r-london-metal-exchange-cuts-deal-with-banks-to-propel-gold-futures-2017-2
8.0,2/23/2017 3:20:14 PM,"RPT-London Metal Exchange cuts deal with banks to propel gold futures (388, CME, ICE, GS, 601398, MS, KN, GLE, HSBA, JPM, BNS)",Reuters,http://www.businessinsider.com/r-rpt-london-metal-exchange-cuts-deal-with-banks-to-propel-gold-futures-2017-2
9.0,2/23/2017 5:36:14 PM,NYSE plans trial run for Snap IPO,Reuters,http://www.businessinsider.com/r-nyse-plans-trial-run-for-snap-ipo-2017-2
10.0,2/24/2017 3:37:48 AM,A vague section in Trump's executive orders is worrying immigrants,Business Insider Contributor ,http://www.businessinsider.com/trumps-executive-orders-worrying-immigrants-2017-2
11.0,3/3/2017 2:56:20 PM,BRIEF-Intercontinental Exchange Reports ICE & NYSE February 2017 volumes (ICE),Reuters,http://www.businessinsider.com/r-brief-intercontinental-exchange-reports-ice--nyse-february-2017-volumes-2017-3
12.0,3/3/2017 8:34:20 PM,"UPDATE 1-Deutsche Boerse's EEX says takes over U.S. peer Nodal (DB1, ICE, CME, NDAQ, LSE)",Reuters,http://www.businessinsider.com/r-update-1-deutsche-boerses-eex-says-takes-over-us-peer-nodal-2017-3
